epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.705,1.23523,1.51058,1.52595,0.74448,0.67373,0.74432,0.48064,1.29634,1.05318,1.44664,0.00333132,0.00333132,0.00333132
2,901.732,1.31809,1.47518,1.57732,0.66684,0.58821,0.63248,0.37343,1.44203,1.3661,1.62961,0.00659868,0.00659868,0.00659868
3,1338.79,1.48406,1.88167,1.74604,0.42618,0.51187,0.45949,0.23678,1.8037,1.93861,1.94263,0.00980003,0.00980003,0.00980003
4,1773.06,1.61422,2.20157,1.86264,0.46263,0.46231,0.43337,0.22965,1.8173,2.05373,2.0743,0.009703,0.009703,0.009703
5,2206.45,1.57202,2.12981,1.83061,0.49678,0.48526,0.46125,0.24698,1.74211,1.89823,1.96786,0.009604,0.009604,0.009604
6,2669.88,1.51926,2.04478,1.78989,0.54594,0.49965,0.49165,0.27434,1.67678,1.81493,1.88308,0.009505,0.009505,0.009505
7,3133.16,1.48503,1.94999,1.75834,0.56771,0.53011,0.52693,0.29238,1.63691,1.71386,1.80049,0.009406,0.009406,0.009406
8,3596.3,1.45136,1.86627,1.72741,0.58603,0.53845,0.53218,0.30786,1.6108,1.66223,1.78933,0.009307,0.009307,0.009307
9,4035.14,1.41996,1.79069,1.69939,0.58189,0.57758,0.55876,0.32415,1.52117,1.59076,1.73768,0.009208,0.009208,0.009208
10,4471.74,1.37937,1.71518,1.67613,0.66758,0.59777,0.62164,0.35215,1.53564,1.47135,1.74902,0.009109,0.009109,0.009109
11,4907.68,1.36702,1.66534,1.66696,0.65166,0.58604,0.61096,0.375,1.50136,1.45494,1.71007,0.00901,0.00901,0.00901
12,5344,1.34,1.62486,1.63317,0.68228,0.56023,0.61335,0.39359,1.41024,1.44904,1.62764,0.008911,0.008911,0.008911
13,5784.75,1.32158,1.57366,1.61323,0.6895,0.60853,0.63705,0.40036,1.36726,1.37312,1.62002,0.008812,0.008812,0.008812
14,6220.28,1.29206,1.53112,1.59503,0.63154,0.61741,0.62468,0.39353,1.41029,1.41476,1.6345,0.008713,0.008713,0.008713
15,6659.26,1.28095,1.49156,1.58409,0.64517,0.63111,0.63457,0.41422,1.33297,1.36137,1.58745,0.008614,0.008614,0.008614
16,7117.67,1.25995,1.46777,1.57905,0.67612,0.65103,0.67106,0.42379,1.35939,1.31298,1.61407,0.008515,0.008515,0.008515
17,7554.36,1.24837,1.42933,1.56222,0.6893,0.64472,0.67143,0.45255,1.29657,1.2775,1.55142,0.008416,0.008416,0.008416
18,7993.38,1.2381,1.40807,1.54859,0.6908,0.68522,0.70634,0.46568,1.2814,1.25242,1.53223,0.008317,0.008317,0.008317
19,8430.3,1.21111,1.36996,1.5276,0.68738,0.65362,0.66451,0.43268,1.32891,1.25949,1.55976,0.008218,0.008218,0.008218
20,8867.2,1.20179,1.34117,1.52106,0.7292,0.63582,0.68788,0.46223,1.25566,1.26748,1.50337,0.008119,0.008119,0.008119
21,9306.83,1.17588,1.30559,1.50812,0.7176,0.64876,0.68606,0.46154,1.24228,1.24606,1.51242,0.00802,0.00802,0.00802
22,9743.45,1.17622,1.29932,1.50947,0.73352,0.65914,0.70403,0.47923,1.23829,1.17111,1.5112,0.007921,0.007921,0.007921
